facility_id_nunique,SO2_sum,SO2_mean,SO2_std,NOx_sum,NOx_mean,NOx_std,PM10_sum,PM10_mean,PM10_std,PM2.5_sum,PM2.5_mean,PM2.5_std,CO_sum,CO_mean,CO_std
3,11433.04,952.75,550.83,16129.0,1344.08,707.85,13618.59,1134.88,1151.77,8208.97,684.08,689.04,4261.89,355.16,203.76
4,6519.95,407.5,384.93,9779.92,611.24,577.4,4719.01,294.94,221.63,2791.63,174.48,136.2,3802.69,237.67,287.83
5,22108.63,1105.43,574.57,30162.22,1508.11,678.46,17164.55,858.23,681.17,10729.58,536.48,407.29,6921.53,346.08,170.71
5,19068.58,953.43,1154.56,23569.79,1178.49,1380.42,15263.07,763.15,580.71,9195.62,459.78,367.82,5551.1,277.56,272.25
