vehicle_id,timestamp,latitude,longitude,speed_m_s,CO,NOx,PM2.5,CO2
DL1PD4810,2025-10-16T19:44:55+05:30,28.732958,77.157455,0.0,0.0,0.0,0.0,0.0
DL1PD6073,2025-10-16T19:45:47+05:30,28.682423,77.043564,0.0,0.0,0.0,0.0,0.0
DL1PD5914,2025-10-16T19:45:48+05:30,28.623985,77.068192,0.0,0.0,0.0,0.0,0.0
DL51GD0295,2025-10-16T19:45:57+05:30,28.74229,77.197884,0.0,0.0,0.0,0.0,0.0
DL1PD5896,2025-10-16T19:46:13+05:30,28.682322,77.033134,0.0,0.0,0.0,0.0,0.0
DL1PD5894,2025-10-16T19:46:20+05:30,28.596571,77.135727,0.0,0.0,0.0,0.0,0.0
DL1PD6001,2025-10-16T19:46:25+05:30,28.575148,77.117653,0.0,0.0,0.0,0.0,0.0
DL1PD4421,2025-10-16T19:46:40+05:30,28.717566,77.063965,0.0,0.0,0.0,0.0,0.0
DL51GD5746,2025-10-16T19:47:00+05:30,28.799265,77.139145,0.0,0.0,0.0,0.0,0.0
DL1PD5511,2025-10-16T19:47:12+05:30,28.769104,77.016632,0.0,0.0,0.0,0.0,0.0
DL1PD5243,2025-10-16T19:47:22+05:30,28.684883,77.196068,0.0,0.0,0.0,0.0,0.0
DL1PD6290,2025-10-16T19:47:33+05:30,28.773296,77.073494,0.0,0.0,0.0,0.0,0.0
DL1PD5441,2025-10-16T19:47:46+05:30,28.640627,77.240906,0.0,0.0,0.0,0.0,0.0
DL1PD4953,2025-10-16T19:47:48+05:30,28.682396,77.043213,0.0,0.0,0.0,0.0,0.0
DL1PD5618,2025-10-16T19:47:57+05:30,28.768702,77.064186,0.0,0.0,0.0,0.0,0.0
DL1PD5275,2025-10-16T19:48:02+05:30,28.726339,77.099609,0.0,0.0,0.0,0.0,0.0
DL1PD4313,2025-10-16T19:48:03+05:30,28.621998,77.087273,0.0,0.0,0.0,0.0,0.0
DL1PD5490,2025-10-16T19:48:05+05:30,28.640434,77.206322,0.0,0.0,0.0,0.0,0.0
DL1PD4645,2025-10-16T19:48:11+05:30,28.717405,77.064301,0.0,0.0,0.0,0.0,0.0
DL1PD4875,2025-10-16T19:48:22+05:30,28.687986,77.087036,0.0,0.0,0.0,0.0,0.0
DL1PD6199,2025-10-16T19:48:22+05:30,28.59704,77.072006,0.0,0.0,0.0,0.0,0.0
DL1PD4199,2025-10-16T19:48:26+05:30,28.718943,77.08429,0.0,0.0,0.0,0.0,0.0
DL1PD4915,2025-10-16T19:48:27+05:30,28.519051,77.189339,0.0,0.0,0.0,0.0,0.0
DL1PD5739,2025-10-16T19:48:28+05:30,28.58094,77.174484,0.0,0.0,0.0,0.0,0.0
DL51GD4091,2025-10-16T19:48:29+05:30,28.73999,77.154053,0.0,0.0,0.0,0.0,0.0
DL1PD4896,2025-10-16T19:48:29+05:30,28.690096,77.221313,0.0,0.0,0.0,0.0,0.0
DL1PD5418,2025-10-16T19:48:37+05:30,28.531492,77.088409,0.0,0.0,0.0,0.0,0.0
DL1PD4304,2025-10-16T19:48:38+05:30,28.554222,77.205826,0.0,0.0,0.0,0.0,0.0
DL51GD4308,2025-10-16T19:48:39+05:30,28.736301,77.197685,0.0,0.0,0.0,0.0,0.0
DL1PD5532,2025-10-16T19:48:41+05:30,28.688129,77.193581,0.0,0.0,0.0,0.0,0.0
DL1PD5156,2025-10-16T19:48:46+05:30,28.683735,77.095505,0.0,0.0,0.0,0.0,0.0
DL1PD4734,2025-10-16T19:48:48+05:30,28.714481,77.226624,0.0,0.0,0.0,0.0,0.0
DL1PD5688,2025-10-16T19:48:48+05:30,28.639545,77.102966,0.0,0.0,0.0,0.0,0.0
DL1PD4947,2025-10-16T19:48:49+05:30,28.772448,77.048851,0.0,0.0,0.0,0.0,0.0
DL1PD5917,2025-10-16T19:48:50+05:30,28.713743,77.226791,0.0,0.0,0.0,0.0,0.0
DL1PD5569,2025-10-16T19:48:50+05:30,28.53161,77.088509,0.0,0.0,0.0,0.0,0.0
DL1PD5335,2025-10-16T19:48:56+05:30,28.736183,77.010277,0.0,0.0,0.0,0.0,0.0
DL1PD5428,2025-10-16T19:48:56+05:30,28.624691,77.064362,0.0,0.0,0.0,0.0,0.0
DL1PD4725,2025-10-16T19:48:56+05:30,28.50802,77.177132,0.0,0.0,0.0,0.0,0.0
DL1PD5761,2025-10-16T19:48:57+05:30,28.514151,77.186264,0.0,0.0,0.0,0.0,0.0
DL51GD5790,2025-10-16T19:48:57+05:30,28.728704,77.196701,0.0,0.0,0.0,0.0,0.0
DL1PD5244,2025-10-16T19:48:59+05:30,28.56955,77.123306,0.0,0.0,0.0,0.0,0.0
DL51GD4092,2025-10-16T19:49:02+05:30,28.72431,77.180489,0.0,0.0,0.0,0.0,0.0
DL1PD6086,2025-10-16T19:49:05+05:30,28.591303,77.244904,0.0,0.0,0.0,0.0,0.0
DL1PD5662,2025-10-16T19:49:08+05:30,28.636541,77.095169,0.0,0.0,0.0,0.0,0.0
DL1PD5531,2025-10-16T19:49:09+05:30,28.66799,77.228722,0.0,0.0,0.0,0.0,0.0
DL1PD4999,2025-10-16T19:49:12+05:30,28.685274,77.221985,0.0,0.0,0.0,0.0,0.0
DL1PD5084,2025-10-16T19:49:12+05:30,28.687958,77.091209,0.0,0.0,0.0,0.0,0.0
DL1PD4548,2025-10-16T19:49:13+05:30,28.697842,77.14106,0.0,0.0,0.0,0.0,0.0
DL1PD4266,2025-10-16T19:49:14+05:30,28.521063,77.081947,0.0,0.0,0.0,0.0,0.0
DL1PD4589,2025-10-16T19:49:16+05:30,28.668982,77.227905,0.0,0.0,0.0,0.0,0.0
DL1PD5932,2025-10-16T19:49:16+05:30,28.625839,77.065742,0.0,0.0,0.0,0.0,0.0
